victim_id,victim_account_id,name,city,lat,long,fraud_type,amount_lost,complaint_timestamp
VIC_0001,VACC_0001,Aryan Maharaj,Kolar,13.120219,78.122206,Investment / Crypto Token Scam,690998,2026-06-24 05:13:00
VIC_0002,VACC_0002,Udant Dewan,Kochi,9.965741,76.266131,Electricity Bill Threat Scam,95999,2026-06-19 06:19:00
VIC_0003,VACC_0003,Gagan Sami,Nellore,14.456373,79.964576,Customer Care Search Hijack,349000,2026-07-10 05:25:00
VIC_0004,VACC_0004,Ayushman Chander,Noida,28.561689,77.376918,Customer Care Search Hijack,150000,2026-06-28 13:21:00
VIC_0005,VACC_0005,Viraj Tiwari,Mumbai,19.029781,72.913875,UPI Impersonation Fraud,100000,2026-06-09 06:24:00
VIC_0006,VACC_0006,Rushil Saini,Noida,28.516764,77.379063,KYC / SIM Block Extortion,40000,2026-06-28 19:22:00
VIC_0007,VACC_0007,Saumya Mall,Gurugram,28.437343,77.040103,UPI Impersonation Fraud,511996,2026-06-11 00:23:00
VIC_0008,VACC_0008,Nathaniel Sami,Kochi,9.896879,76.255953,Digital Arrest / CBI Impersonation,75999,2026-07-17 18:31:00
VIC_0009,VACC_0009,Arunima Dugal,Hyderabad,17.401978,78.484294,Part-time Telegram Job Scam,182000,2026-06-30 09:30:00
VIC_0010,VACC_0010,Gayathri Chaudry,Gurugram,28.469392,77.007902,Digital Arrest / CBI Impersonation,168497,2026-06-18 11:07:00
VIC_0011,VACC_0011,Lajita Chatterjee,Mumbai,19.069308,72.928298,Investment / Crypto Token Scam,298998,2026-07-17 10:45:00
VIC_0012,VACC_0012,Hemangini Lalla,Kolkata,22.564896,88.369542,Electricity Bill Threat Scam,202000,2026-07-20 05:54:00
VIC_0013,VACC_0013,Tripti Yadav,Noida,28.541528,77.417746,Part-time Telegram Job Scam,151999,2026-07-14 08:15:00
VIC_0014,VACC_0014,Kritika Brar,Jamtara,23.935122,86.816929,Electricity Bill Threat Scam,15999,2026-06-13 00:24:00
VIC_0015,VACC_0015,Janaki Handa,Bengaluru,12.974198,77.530534,Fake Loan App Fraud,212999,2026-06-06 02:29:00
VIC_0016,VACC_0016,Chakradev Kari,Kolkata,22.586858,88.352458,UPI Impersonation Fraud,172999,2026-06-14 18:10:00
VIC_0017,VACC_0017,Fariq Kaul,Mumbai,19.024547,72.842383,Electricity Bill Threat Scam,112999,2026-06-13 09:31:00
VIC_0018,VACC_0018,Lajita Mall,Chennai,13.093633,80.247257,UPI Impersonation Fraud,446499,2026-07-24 03:19:00
VIC_0019,VACC_0019,Janya Gaba,Nellore,14.463674,79.995374,Digital Arrest / CBI Impersonation,75999,2026-06-06 17:04:00
VIC_0020,VACC_0020,Isha Kadakia,Coimbatore,10.993917,76.935855,Customer Care Search Hijack,36999,2026-06-08 08:45:00
VIC_0021,VACC_0021,Ekbal Garg,Kochi,9.910019,76.282295,Customer Care Search Hijack,162500,2026-06-22 03:09:00
VIC_0022,VACC_0022,Nihal Shere,Kochi,9.890902,76.276198,KYC / SIM Block Extortion,428499,2026-06-18 09:10:00
VIC_0023,VACC_0023,Anamika Kanda,Noida,28.552514,77.394844,Electricity Bill Threat Scam,342999,2026-06-18 10:25:00
VIC_0024,VACC_0024,Daksh Karnik,Mewat,28.125353,77.003413,Customer Care Search Hijack,125999,2026-07-23 02:35:00
VIC_0025,VACC_0025,Diya Rattan,Bengaluru,12.973417,77.611719,Fake Loan App Fraud,356500,2026-07-11 20:07:00
VIC_0026,VACC_0026,Dominic Kakar,Kolkata,22.566294,88.339434,Part-time Telegram Job Scam,176499,2026-06-13 05:42:00
VIC_0027,VACC_0027,Simon Tata,Hyderabad,17.351376,78.507314,UPI Impersonation Fraud,521999,2026-07-18 22:05:00
VIC_0028,VACC_0028,Tara Dhar,Bengaluru,13.014446,77.657336,Customer Care Search Hijack,787998,2026-07-05 08:08:00
VIC_0029,VACC_0029,Liam Koshy,Kolkata,22.535866,88.401857,KYC / SIM Block Extortion,257500,2026-06-27 21:19:00
VIC_0030,VACC_0030,Priya Rastogi,Kochi,9.92543,76.264466,Fake Loan App Fraud,16000,2026-06-26 19:41:00
VIC_0031,VACC_0031,Theodore Devi,Kolkata,22.593083,88.375132,Fake Loan App Fraud,95000,2026-07-02 15:57:00
VIC_0032,VACC_0032,Gavin Batta,Kochi,9.917515,76.262254,Customer Care Search Hijack,102998,2026-07-18 08:17:00
VIC_0033,VACC_0033,Michael Dutta,Mumbai,19.069493,72.825233,Digital Arrest / CBI Impersonation,236999,2026-07-08 15:17:00
VIC_0034,VACC_0034,Devansh Rajan,Mumbai,19.084454,72.979021,Investment / Crypto Token Scam,227999,2026-06-14 10:50:00
VIC_0035,VACC_0035,Upadhriti Wadhwa,Nellore,14.453875,80.026224,Fake Loan App Fraud,405498,2026-07-19 07:06:00
VIC_0036,VACC_0036,Advay Contractor,Kolkata,22.569884,88.377524,KYC / SIM Block Extortion,203499,2026-07-10 13:52:00
VIC_0037,VACC_0037,Harini Choudhury,Mumbai,19.114523,72.882615,Fake Loan App Fraud,233499,2026-07-09 21:39:00
VIC_0038,VACC_0038,Radhika Dugar,Hyderabad,17.393689,78.486057,Fake Loan App Fraud,101499,2026-07-02 00:31:00
VIC_0039,VACC_0039,Aarush Lall,Kolkata,22.584514,88.38004,Investment / Crypto Token Scam,402999,2026-07-01 06:38:00
VIC_0040,VACC_0040,Yashica Cherian,Coimbatore,11.007657,76.955861,Part-time Telegram Job Scam,132999,2026-06-04 16:22:00
VIC_0041,VACC_0041,Yashica Issac,Mewat,28.118744,76.996013,Fake Loan App Fraud,568496,2026-06-08 23:04:00
VIC_0042,VACC_0042,Kashvi Edwin,Coimbatore,11.055326,76.95014,Part-time Telegram Job Scam,609497,2026-06-15 22:59:00
VIC_0043,VACC_0043,Ekiya Suresh,Noida,28.556555,77.396645,Customer Care Search Hijack,220500,2026-06-23 22:44:00
VIC_0044,VACC_0044,Isaac Patil,Kolkata,22.537725,88.401901,Fake Loan App Fraud,142498,2026-07-10 08:07:00
VIC_0045,VACC_0045,Wriddhish Bhardwaj,Coimbatore,11.020497,76.938462,Part-time Telegram Job Scam,121000,2026-06-19 12:55:00
VIC_0046,VACC_0046,Farhan Chada,Kochi,9.930606,76.281957,Part-time Telegram Job Scam,203500,2026-06-14 08:00:00
VIC_0047,VACC_0047,Ekapad Walia,Bengaluru,12.957911,77.576368,Customer Care Search Hijack,522496,2026-06-22 05:55:00
VIC_0048,VACC_0048,Kabir Soman,Kochi,9.922002,76.264207,Part-time Telegram Job Scam,61499,2026-07-13 15:15:00
VIC_0049,VACC_0049,Alka Wable,Gurugram,28.458297,77.00415,Electricity Bill Threat Scam,91999,2026-06-25 15:33:00
VIC_0050,VACC_0050,Siddharth Zacharia,Jamtara,23.975469,86.796537,Fake Loan App Fraud,288000,2026-06-29 15:48:00
VIC_0051,VACC_0051,Devika Rastogi,Nellore,14.456127,79.957424,KYC / SIM Block Extortion,389499,2026-07-06 18:05:00
VIC_0052,VACC_0052,Raksha Varughese,Kolar,13.126496,78.120058,Fake Loan App Fraud,186000,2026-07-19 23:36:00
VIC_0053,VACC_0053,Jai Kota,Nellore,14.440726,80.001326,Digital Arrest / CBI Impersonation,87998,2026-07-19 12:51:00
VIC_0054,VACC_0054,Devansh Nigam,Mumbai,19.117134,72.81353,KYC / SIM Block Extortion,151999,2026-06-18 12:55:00
VIC_0055,VACC_0055,Victor Kannan,Mumbai,19.070105,72.834163,Customer Care Search Hijack,507496,2026-07-20 18:03:00
VIC_0056,VACC_0056,Ekavir Bhargava,Jamtara,23.950176,86.806331,Fake Loan App Fraud,514497,2026-06-11 21:06:00
VIC_0057,VACC_0057,Ekansh Balay,Kolar,13.138648,78.139678,Investment / Crypto Token Scam,207998,2026-07-03 17:40:00
VIC_0058,VACC_0058,Ekavir Varkey,Mewat,28.123183,76.974016,Part-time Telegram Job Scam,312499,2026-06-05 03:37:00
VIC_0059,VACC_0059,Arya Sunder,Mewat,28.092245,76.978701,Fake Loan App Fraud,281000,2026-06-22 07:09:00
VIC_0060,VACC_0060,Kevin Solanki,Noida,28.523252,77.389623,Investment / Crypto Token Scam,197499,2026-06-16 18:16:00
VIC_0061,VACC_0061,Urvashi Ray,Gurugram,28.456506,77.012519,Investment / Crypto Token Scam,151999,2026-06-16 09:42:00
VIC_0062,VACC_0062,Girindra Chatterjee,Mumbai,19.134221,72.848959,Electricity Bill Threat Scam,536497,2026-06-09 12:24:00
VIC_0063,VACC_0063,Irya Sampath,Bengaluru,12.996078,77.538685,UPI Impersonation Fraud,101000,2026-07-22 23:49:00
VIC_0064,VACC_0064,Unni Bhagat,Jamtara,23.960035,86.80664,Fake Loan App Fraud,754498,2026-07-15 04:10:00
VIC_0065,VACC_0065,Darsh Rau,Kolkata,22.557372,88.357638,Electricity Bill Threat Scam,224999,2026-06-13 16:34:00
VIC_0066,VACC_0066,Ikbal Kothari,Nellore,14.448544,79.978495,Digital Arrest / CBI Impersonation,51500,2026-06-22 11:41:00
